Rank,County_City,Per_capita_income,Median_household_income,Median_family_income,Population,Households
3,City of Alexandria,54345,80847,102017,139966,68082
100,City of Bedford,20092,32262,41026,6222,2627
105,City of Bristol,19700,32079,39212,17835,7879
114,City of Buena Vista,19030,39955,46081,6650,2603
58,City of Charlottesville,24578,42240,62378,43475,17778
28,City of Chesapeake,29306,67855,77561,222209,79574
49,City of Colonial Heights,26115,50571,64154,17411,7275
94,City of Covington,20781,35277,47188,5961,2632
116,City of Danville,18840,29936,39198,43055,18831
110,City of Emporia,19245,32788,39410,5927,2316
6,City of Fairfax,44008,97900,110240,22565,8347
2,City of Falls Church,55389,114409,142035,12332,5101
109,City of Franklin,19453,33174,41821,8582,3530
36,City of Fredericksburg,27870,43558,65699,24286,9505
107,City of Galax,19609,22333,38513,7042,2922
64,City of Hampton,24051,49815,61310,137436,55031
128,City of Harrisonburg,16750,37235,53529,48914,15988
112,City of Hopewell,19148,37789,43862,22591,9129
126,City of Lexington,17022,31571,62109,7042,2237
88,City of Lynchburg,21586,37058,50196,75568,28476
31,City of Manassas,28941,75173,79893,37821,12527
42,City of Manassas Park,27335,70299,75333,14273,4507
104,City of Martinsville,19766,32408,43176,13821,6084
60,City of Newport News,24249,49562,57969,180719,70664
68,City of Norfolk,23773,42677,51022,242803,86485
62,City of Norton,24145,33944,49775,3958,1750
113,City of Petersburg,19142,36449,44233,32420,13634
11,City of Poquoson,36840,84315,92479,12150,4525
82,City of Portsmouth,22302,45488,52830,95535,37324
133,City of Radford,16496,29155,58258,16408,5990
51,City of Richmond,26034,38266,47364,204214,87151
80,City of Roanoke,22530,36422,46322,97032,42712
43,City of Salem,27081,48828,64254,24802,10045
63,City of Staunton,24077,42724,57842,23746,10480
34,City of Suffolk,28441,65104,76586,84585,30868
24,City of Virginia Beach,30873,64618,73795,437994,165089
76,City of Waynesboro,23190,40977,47585,21006,8903
78,City of Williamsburg,22851,50794,71190,14068,4571
48,City of Winchester,26341,44873,56260,26203,10607
79,Accomack,22766,41372,49727,33164,13798
12,Albemarle,36685,64847,83894,98970,38157
86,Alleghany,22013,43160,53205,16250,6891
61,Amelia,24197,50135,58029,12690,4821
91,Amherst,21097,44757,55211,32353,12560
81,Appomattox,22388,49224,58954,14973,6033
1,Arlington,57724,94880,126947,207627,98050
70,Augusta,23571,50612,60506,73750,28516
83,Bath,22083,50589,50974,4731,2162
37,Bedford,27732,54110,65508,68676,27465
97,Bland,20468,41552,45534,6824,2566
26,Botetourt,29540,64724,73032,33148,13126
130,Brunswick,16739,35184,43018,17434,6366
129,Buchanan,16742,29183,36829,24098,9968
127,Buckingham,16752,34720,43589,17146,5965
84,Campbell,22044,43478,53566,54842,22441
56,Caroline,25024,57690,65949,28545,10456
117,Carroll,18670,36142,44882,30042,12831
65,Charles City,23955,46337,54536,7256,2955
125,Charlotte,17348,34881,48266,12586,5109
21,Chesterfield,31711,71321,82226,316236,115680
16,Clarke,34630,73244,85946,14034,5509
73,Craig,23461,51291,63134,5190,2183
39,Culpeper,27507,65132,75462,46689,16231
106,Cumberland,19691,40143,50007,10052,3980
134,Dickenson,16278,29080,34077,15903,6590
74,Dinwiddle,23423,51459,60400,28001,10504
67,Essex,23795,46235,52810,11151,4517
4,Fairfax,49001,105416,124316,1081726,391627
7,Fauquier,38710,83877,97548,65203,23658
89,Floyd,21425,42044,50759,15279,6415
27,Fluvanna,29407,68223,74529,25691,9449
71,Franklin,23527,45555,53066,56159,22780
35,Frederick,27977,61973,68771,78305,28864
92,Giles,20985,41186,48966,17286,7215
41,Gloucester,27395,59331,68461,36858,14293
8,Goochland,38553,79574,91500,21717,7998
108,Grayson,19499,32178,40205,15533,6846
57,Greene,24969,54307,60414,18403,6780
124,Greensville,17631,38574,49741,12243,3566
102,Halifax,19909,34705,44518,36241,15085
17,Hanover,34201,76425,87756,99863,36589
18,Henrico,33001,60114,75140,306935,124601
111,Henry,19206,34086,42637,54151,23151
54,Highland,25690,43481,51326,2321,1081
25,Isle of Wight,29547,62242,71732,35270,13718
9,James City,38162,73903,86756,67009,26860
87,King and Queen,21777,44442,49917,6945,2882
19,King George,32630,76241,87155,23584,8376
46,King William,26853,64946,75260,15935,5979
29,Lancaster,29275,45209,55083,11391,5265
132,Lee,16513,31352,41204,25587,10159
5,Loudoun,45356,115574,130432,312311,104583
38,Louisa,27562,54257,62703,33153,12944
123,Lunenburg,17744,37424,41968,12914,4957
50,Madison,26081,56608,65164,13308,5083
44,Mathews,27011,47435,55853,8978,3858
99,Mecklenburg,20162,36431,46192,32727,13495
33,Middlesex,28539,50207,63750,10959,4708
85,Montgomery,22040,43229,65654,94392,35767
45,Nelson,26996,48118,57356,15020,6396
20,New Kent,31741,70590,78718,18429,6813
75,Northampton,23233,35760,47995,12389,5323
32,Northumberland,28646,51944,60872,12330,5540
98,Nottoway,20318,37344,44559,15853,5706
47,Orange,26447,54916,63886,33481,12895
77,Page,22969,41617,51543,24042,9746
119,Patrick,18396,35813,41130,18490,8081
95,Pittsylvania,20652,39224,49166,63506,26183
52,Powhatan,25851,73593,81476,28046,9494
120,Prince Edward,18192,36191,49824,23368,7916
53,Prince George,25769,64171,71769,35725,11451
14,Prince William,35737,91098,99494,402002,130785
93,Pulaski,20976,41163,48884,34872,14821
10,Rappahannock,37149,62117,75975,7373,3072
101,Richmond,19965,42182,60250,9254,3159
22,Roanoke,31046,59446,74660,92376,37608
69,Rockbridge,23753,44417,53889,22307,9555
55,Rockingham,25274,49930,58067,76314,29177
122,Russell,17909,32780,42648,28897,11943
118,Scott,18667,34250,43112,23177,9775
59,Shenandoah,24502,50171,61363,41993,17076
103,Smyth,19906,34864,43790,32208,13319
90,Southampton,21201,45426,56830,18570,6719
23,Spotsylvania,31012,76574,84723,122397,41942
15,Stafford,34691,93065,101321,128961,41769
66,Surry,23835,55030,67995,7058,2826
131,Sussex,16735,37978,48817,12087,3994
115,Tazewell,19016,35215,43428,45078,18449
30,Warren,29098,60522,72370,37575,14085
72,Washington,23488,40422,51276,54876,22843
40,Westmoreland,27501,52990,59613,17454,7310
121,Wise,17944,33608,41625,41452,15968
96,Wythe,20589,38948,47119,29235,12472
13,York,35823,81055,92597,65464,24006
